EVENT,URL,DATE,LOCATION
UFC Fight Night: Lemos vs. Andrade,http://ufcstats.com/event-details/236a37d96d476164,2022-04-23,"Las Vegas, Nevada, USA"
UFC Fight Night: Luque vs. Muhammad,http://ufcstats.com/event-details/8753e125f4499816,2022-04-16,"Las Vegas, Nevada, USA"
UFC 273: Volkanovski vs. The Korean Zombie,http://ufcstats.com/event-details/3a97fda0de6f1fa4,2022-04-09,"Jacksonville, Florida, USA"
UFC Fight Night: Blaydes vs. Daukaus,http://ufcstats.com/event-details/1fac46d466abd5b8,2022-03-26,"Columbus, Ohio, USA"
UFC Fight Night: Volkov vs. Aspinall,http://ufcstats.com/event-details/1d00756835ca67c9,2022-03-19,"London, England, United Kingdom"
UFC Fight Night: Santos vs. Ankalaev,http://ufcstats.com/event-details/1f9344211ca7fd60,2022-03-12,"Las Vegas, Nevada, USA"
UFC 272: Covington vs. Masvidal,http://ufcstats.com/event-details/75e0d3cc2262b732,2022-03-05,"Las Vegas, Nevada, USA"
UFC Fight Night: Makhachev vs. Green,http://ufcstats.com/event-details/f6a7b02c42e9fc5b,2022-02-26,"Las Vegas, Nevada, USA"
UFC Fight Night: Walker vs. Hill,http://ufcstats.com/event-details/77940e45bc86208e,2022-02-19,"Las Vegas, Nevada, USA"
UFC 271: Adesanya vs. Whittaker 2,http://ufcstats.com/event-details/cbb682f5fcc44bfc,2022-02-12,"Houston, Texas, USA"
UFC Fight Night: Hermansson vs. Strickland,http://ufcstats.com/event-details/883922e5cd6d8473,2022-02-05,"Las Vegas, Nevada, USA"
UFC 270: Ngannou vs. Gane,http://ufcstats.com/event-details/335ad945324c3a2e,2022-01-22,"Anaheim, California, USA"
UFC Fight Night: Kattar vs. Chikadze,http://ufcstats.com/event-details/f5585e675af7afd4,2022-01-15,"Las Vegas, Nevada, USA"
UFC Fight Night: Lewis vs. Daukaus,http://ufcstats.com/event-details/2a470ad41c22c25a,2021-12-18,"Las Vegas, Nevada, USA"
UFC 269: Oliveira vs. Poirier,http://ufcstats.com/event-details/ef927e4fe2117ab8,2021-12-11,"Las Vegas, Nevada, USA"
UFC Fight Night: Font vs. Aldo,http://ufcstats.com/event-details/509697e08673d2e5,2021-12-04,"Las Vegas, Nevada, USA"
UFC Fight Night: Vieira vs. Tate,http://ufcstats.com/event-details/c95fbc085e17a532,2021-11-20,"Las Vegas, Nevada, USA"
UFC Fight Night: Holloway vs. Rodriguez,http://ufcstats.com/event-details/b5abaa65f87938eb,2021-11-13,"Las Vegas, Nevada, USA"
UFC 268: Usman vs. Covington 2,http://ufcstats.com/event-details/48e093ea1f43a053,2021-11-06,"New York City, New York, USA"
UFC 267: Blachowicz vs. Teixeira,http://ufcstats.com/event-details/3974fa35c917af1d,2021-10-30,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Costa vs. Vettori,http://ufcstats.com/event-details/8a9c6c4301f6d088,2021-10-23,"Las Vegas, Nevada, USA"
UFC Fight Night: Ladd vs. Dumont,http://ufcstats.com/event-details/8f4616698508f24d,2021-10-16,"Las Vegas, Nevada, USA"
UFC Fight Night: Dern vs. Rodriguez,http://ufcstats.com/event-details/d247691a6c0e9034,2021-10-09,"Las Vegas, Nevada, USA"
UFC Fight Night: Santos vs. Walker,http://ufcstats.com/event-details/e15d0a2519d6a0b5,2021-10-02,"Las Vegas, Nevada, USA"
UFC 266: Volkanovski vs. Ortega,http://ufcstats.com/event-details/0eec866a077889f0,2021-09-25,"Las Vegas, Nevada, USA"
UFC Fight Night: Smith vs. Spann,http://ufcstats.com/event-details/4c27ca8c8481f79a,2021-09-18,"Las Vegas, Nevada, USA"
UFC Fight Night: Brunson vs. Till,http://ufcstats.com/event-details/b9532d815060de7f,2021-09-04,"Las Vegas, Nevada, USA"
UFC Fight Night: Barboza vs. Chikadze,http://ufcstats.com/event-details/0db9d2486d564a3c,2021-08-28,"Las Vegas, Nevada, USA"
UFC Fight Night: Cannonier vs. Gastelum,http://ufcstats.com/event-details/2f13e4020cea5b38,2021-08-21,"Las Vegas, Nevada, USA"
UFC 265: Lewis vs. Gane,http://ufcstats.com/event-details/972197a8c61ac413,2021-08-07,"Houston, Texas, USA"
UFC Fight Night: Hall vs. Strickland,http://ufcstats.com/event-details/320edfb0332b7073,2021-07-31,"Las Vegas, Nevada, USA"
UFC Fight Night: Sandhagen vs. Dillashaw,http://ufcstats.com/event-details/e57f0b06ea39e360,2021-07-24,"Las Vegas, Nevada, USA"
UFC Fight Night: Makhachev vs. Moises,http://ufcstats.com/event-details/40389d39a92f5bfa,2021-07-17,"Las Vegas, Nevada, USA"
UFC 264: Poirier vs. McGregor 3,http://ufcstats.com/event-details/8a0be41c0380188d,2021-07-10,"Las Vegas, Nevada, USA"
UFC Fight Night: Gane vs. Volkov,http://ufcstats.com/event-details/a1d6b308781aa2f5,2021-06-26,"Las Vegas, Nevada, USA"
UFC Fight Night: Jung vs. Ige,http://ufcstats.com/event-details/9ddfb3369a3b0394,2021-06-19,"Las Vegas, Nevada, USA"
UFC 263: Adesanya vs. Vettori 2,http://ufcstats.com/event-details/0b64d0fed453ef7f,2021-06-12,"Glendale, Arizona, USA"
UFC Fight Night: Rozenstruik vs. Sakai,http://ufcstats.com/event-details/3b2485c8d5c8b580,2021-06-05,"Las Vegas, Nevada, USA"
UFC Fight Night: Font vs. Garbrandt,http://ufcstats.com/event-details/277ffed20cf07aea,2021-05-22,"Las Vegas, Nevada, USA"
UFC 262: Oliveira vs. Chandler,http://ufcstats.com/event-details/744f50016c39c26c,2021-05-15,"Houston, Texas, USA"
UFC Fight Night: Rodriguez vs. Waterson,http://ufcstats.com/event-details/58a36b4ccf5dc30e,2021-05-08,"Las Vegas, Nevada, USA"
UFC Fight Night: Reyes vs. Prochazka,http://ufcstats.com/event-details/d57e6a8971b6d2bd,2021-05-01,"Las Vegas, Nevada, USA"
UFC 261: Usman vs. Masvidal 2,http://ufcstats.com/event-details/27541033b97c076d,2021-04-24,"Jacksonville, Florida, USA"
UFC Fight Night: Whittaker vs. Gastelum,http://ufcstats.com/event-details/4a35913bd9aa4161,2021-04-17,"Las Vegas, Nevada, USA"
UFC Fight Night: Vettori vs. Holland,http://ufcstats.com/event-details/9114c8ded5ccd71d,2021-04-10,"Las Vegas, Nevada, USA"
UFC 260: Miocic vs. Ngannou,http://ufcstats.com/event-details/6597b611f1c32555,2021-03-27,"Las Vegas, Nevada, USA"
UFC Fight Night: Brunson vs. Holland,http://ufcstats.com/event-details/c36e1f4fa755ffb4,2021-03-20,"Las Vegas, Nevada, USA"
UFC Fight Night: Edwards vs. Muhammad,http://ufcstats.com/event-details/8c90c1563972e44d,2021-03-13,"Las Vegas, Nevada, USA"
UFC 259: Blachowicz vs. Adesanya,http://ufcstats.com/event-details/6e2b1d631832921d,2021-03-06,"Las Vegas, Nevada, USA"
UFC Fight Night: Rozenstruik vs. Gane,http://ufcstats.com/event-details/81b57acd6975ac06,2021-02-27,"Las Vegas, Nevada, USA"
UFC Fight Night: Blaydes vs. Lewis,http://ufcstats.com/event-details/bfe95ec546692b13,2021-02-20,"Las Vegas, Nevada, USA"
UFC 258: Usman vs. Burns,http://ufcstats.com/event-details/3f7c14c7eca7195d,2021-02-13,"Las Vegas, Nevada, USA"
UFC Fight Night: Overeem vs. Volkov,http://ufcstats.com/event-details/a1153013cb5f628f,2021-02-06,"Las Vegas, Nevada, USA"
UFC 257: Poirier vs. McGregor,http://ufcstats.com/event-details/4304992c2acc187b,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Chiesa vs. Magny,http://ufcstats.com/event-details/56116537d71a578c,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Holloway vs. Kattar,http://ufcstats.com/event-details/307064d3e0f036c2,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Thompson vs. Neal,http://ufcstats.com/event-details/e49c2db95e572dc8,2020-12-19,"Las Vegas, Nevada, USA"
UFC 256: Figueiredo vs. Moreno,http://ufcstats.com/event-details/d0d43cb9b14f231c,2020-12-12,"Las Vegas, Nevada, USA"
UFC Fight Night: Hermansson vs. Vettori,http://ufcstats.com/event-details/398b440e73d55b8b,2020-12-05,"Las Vegas, Nevada, USA"
UFC Fight Night: Smith vs. Clark,http://ufcstats.com/event-details/992c82450d96f726,2020-11-28,"Las Vegas, Nevada, USA"
UFC 255: Figueiredo vs. Perez,http://ufcstats.com/event-details/bbb15f301e4a490a,2020-11-21,"Las Vegas, Nevada, USA"
UFC Fight Night: Felder vs. Dos Anjos,http://ufcstats.com/event-details/3bc27ec15facbcf3,2020-11-14,"Las Vegas, Nevada, USA"
UFC Fight Night: Santos vs. Teixeira,http://ufcstats.com/event-details/41dca66f9dadfc86,2020-11-07,"Las Vegas, Nevada, USA"
UFC Fight Night: Hall vs. Silva,http://ufcstats.com/event-details/ad044be25c94dcfd,2020-10-31,"Las Vegas, Nevada, USA"
UFC 254: Khabib vs. Gaethje,http://ufcstats.com/event-details/c3c38c86f5ab9b5c,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Ortega vs. The Korean Zombie,http://ufcstats.com/event-details/d4f364dd076bb0e2,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Moraes vs. Sandhagen,http://ufcstats.com/event-details/fd4578cac86d75ca,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Holm vs. Aldana,http://ufcstats.com/event-details/805ad1801eb26abb,2020-10-03,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC 253: Adesanya vs. Costa,http://ufcstats.com/event-details/e69c5ce12f4e762b,2020-09-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Covington vs. Woodley,http://ufcstats.com/event-details/831b937811804dad,2020-09-19,"Las Vegas, Nevada, USA"
UFC Fight Night: Waterson vs. Hill,http://ufcstats.com/event-details/9c37681096c6f3a9,2020-09-12,"Las Vegas, Nevada, USA"
UFC Fight Night: Overeem vs. Sakai,http://ufcstats.com/event-details/542db012217ecb83,2020-09-05,"Las Vegas, Nevada, USA"
UFC Fight Night: Smith vs. Rakic,http://ufcstats.com/event-details/e29cf523ebd155c5,2020-08-29,"Las Vegas, Nevada, USA"
UFC Fight Night: Munhoz vs. Edgar,http://ufcstats.com/event-details/af1e5c64b8663aa0,2020-08-22,"Las Vegas, Nevada, USA"
UFC 252: Miocic vs. Cormier 3,http://ufcstats.com/event-details/bda04c573563cc2e,2020-08-15,"Las Vegas, Nevada, USA"
UFC Fight Night: Lewis vs. Oleinik,http://ufcstats.com/event-details/7a82635ffa9b59fe,2020-08-08,"Las Vegas, Nevada, USA"
UFC Fight Night: Brunson vs. Shahbazyan,http://ufcstats.com/event-details/3746e21bb508391a,2020-08-01,"Las Vegas, Nevada, USA"
UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,2020-07-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,2020-07-18,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Kattar vs. Ige,http://ufcstats.com/event-details/18f5669a92e99d92,2020-07-15,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC 251: Usman vs. Masvidal,http://ufcstats.com/event-details/dbd198f780286aca,2020-07-11,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Poirier vs. Hooker,http://ufcstats.com/event-details/c32eab6c2119e989,2020-06-27,"Las Vegas, Nevada, USA"
UFC Fight Night: Blaydes vs. Volkov,http://ufcstats.com/event-details/2eab7a6c8b0ed8cc,2020-06-20,"Las Vegas, Nevada, USA"
UFC Fight Night: Eye vs. Calvillo,http://ufcstats.com/event-details/1e13936d708bcff7,2020-06-13,"Las Vegas, Nevada, USA"
UFC 250: Nunes vs. Spencer,http://ufcstats.com/event-details/4c12aa7ca246e7a4,2020-06-06,"Las Vegas, Nevada, USA"
UFC Fight Night: Woodley vs. Burns,http://ufcstats.com/event-details/14b9e0f2679a2205,2020-05-30,"Las Vegas, Nevada, USA"
UFC Fight Night: Overeem vs. Harris,http://ufcstats.com/event-details/dfb965c9824425db,2020-05-16,"Jacksonville, Florida, USA"
